epoch,station_name,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,time
4049,uka,0.05742405354976654,0.057416826486587524,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.229738+02:00
4050,uka,0.05741684138774872,0.0574096255004406,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.231571+02:00
4051,uka,0.0574096217751503,0.05740242823958397,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.233448+02:00
4052,uka,0.05740242078900337,0.05739523470401764,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.236288+02:00
4053,uka,0.05739523470401764,0.05738803371787071,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.238116+02:00
4054,uka,0.05738803371787071,0.057380832731723785,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.239976+02:00
4055,uka,0.05738084763288498,0.057373639196157455,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.241814+02:00
4056,uka,0.05737364664673805,0.057366468012332916,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.243649+02:00
4057,uka,0.05736646056175232,0.05735926702618599,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.245494+02:00
4058,uka,0.057359274476766586,0.05735209956765175,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.247323+02:00
4059,uka,0.05735209211707115,0.05734492093324661,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.249172+02:00
4060,uka,0.05734492093324661,0.057337742298841476,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.250984+02:00
4061,uka,0.057337742298841476,0.05733058229088783,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.252830+02:00
4062,uka,0.057330574840307236,0.057323407381772995,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.254700+02:00
4063,uka,0.057323407381772995,0.05731624737381935,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.256593+02:00
4064,uka,0.05731624737381935,0.05730908364057541,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.258449+02:00
4065,uka,0.057309091091156006,0.05730193108320236,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.260292+02:00
4066,uka,0.05730193108320236,0.05729478597640991,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.262137+02:00
4067,uka,0.05729478597640991,0.057287633419036865,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.263996+02:00
4068,uka,0.05728762596845627,0.057280492037534714,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.265817+02:00
4069,uka,0.057280492037534714,0.05727333948016167,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.267642+02:00
4070,uka,0.05727333948016167,0.057266201823949814,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.269485+02:00
4071,uka,0.05726619437336922,0.05725906416773796,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.271336+02:00
4072,uka,0.05725906416773796,0.057251930236816406,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.273174+02:00
4073,uka,0.057251930236816406,0.057244811207056046,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.283972+02:00
4074,uka,0.057244811207056046,0.05723768100142479,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.285897+02:00
4075,uka,0.05723768100142479,0.057230547070503235,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.288394+02:00
4076,uka,0.05723053961992264,0.057223428040742874,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.290881+02:00
4077,uka,0.057223428040742874,0.05721631646156311,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.293377+02:00
4078,uka,0.05721631646156311,0.05720919743180275,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.295776+02:00
4079,uka,0.05720920488238335,0.057202085852622986,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.297602+02:00
4080,uka,0.05720209330320358,0.05719499662518501,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.299436+02:00
4081,uka,0.05719498172402382,0.05718787759542465,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.301286+02:00
4082,uka,0.05718788504600525,0.05718078464269638,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.303112+02:00
4083,uka,0.05718078464269638,0.05717368796467781,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.304954+02:00
4084,uka,0.05717368796467781,0.05716659128665924,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.306805+02:00
4085,uka,0.05716659501194954,0.05715949833393097,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.308651+02:00
4086,uka,0.05715949833393097,0.05715242028236389,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.310473+02:00
4087,uka,0.05715242773294449,0.05714533105492592,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.312336+02:00
4088,uka,0.05714533105492592,0.05713825300335884,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.314184+02:00
4089,uka,0.05713825300335884,0.05713117867708206,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.316052+02:00
4090,uka,0.05713117867708206,0.05712409317493439,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.317888+02:00
4091,uka,0.057124096900224686,0.057117022573947906,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.319728+02:00
4092,uka,0.057117026299238205,0.057109951972961426,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.321543+02:00
